title,price,info,usage,brand,category,product_type,images,description,url
Pack Duoserum Just Ácido Hialurónico 30ml + Just Vitamina C 30ml Revox,57.80,"Ideal para hidratar y revitalizar la piel, combatiendo signos de envejecimiento y mejorando su luminosidad con ácido hialurónico y vitamina C.",Aplicar 4-5 gotas por la mañana sobre la piel limpia y seca y masajear suavemente hasta su absorción. Espera hasta que se seque antes de aplicar el siguiente producto.,REVOX,Tratamiento,Serums y ampollas,['https://aruma.vtexassets.com/arquivos/ids/172714-800-auto?v=637739088396200000&width=800&height=auto&aspect=true'],"Serum Revox Just Ácido Hialurónico 30ml: Es un fluido hidratante para el rostro y el cuello. El ácido hialurónico es una sustancia que se encuentra en la piel de forma natural y sirve para retener el agua en la piel y mantenerla hidratada.Serum Revox Just Vitamin C 30ml: Es un suero antioxidante con vitamina C para rostro y cuello que protege la piel del envejecimiento, reduce arrugas y manchas, y mejora la luminosidad. Debe almacenarse en un lugar fresco, seco y oscuro, preferiblemente en su caja original, para evitar la oxidación de sus ingredientes.",https://www.aruma.pe/pack-duoserum-just-hyaluronic-acid-30ml-just-vitamin-c-30ml-revox/p
Limpiador en Gel para Piel Mixta 400ml La Roche Posay,137.00,Gel limpiador de higiene facial diaria,"Usa La Roche-Posay Effaclar Purifying Foaming Gel 400ml como parte de tu rutina matutina y vespertina como tu limpiador facial seleccionado. Aplica una cantidad adecuada en tus manos con un poco de agua y trabaja la fórmula hasta que se forme espuma. Luego, masajea suavemente el producto en la piel de tu rostro. Por último, terminar aclarando abundantemente.",LA ROCHE POSAY,Limpieza,Limpiadores y Jabones,"['https://aruma.vtexassets.com/arquivos/ids/178289-800-auto?v=637922982485970000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/161255-800-auto?v=637400633814770000&width=800&height=auto&aspect=true']","Gel limpiador para pieles mixtas a grasas. Elimina las impurezas y el exceso de sebo, dejando la piel limpia y fresca. Ideal para pieles con tratamientos para el acné.",https://www.aruma.pe/limpiador-en-gel-para-piel-mixta-400ml-la-roche-posay/p
Fotoprotector Isdin Fusion Water Magic Alcaraz 50ml,129.00,Protector solar facial de textura ultraligera y fase externa acuosa con efecto refrescante. 50 ml,"Aplica Fusion Water MAGIC by Alcaraz SPF 50 generosamente sobre la piel seca. La cantidad adecuada para la zona del rostro son dos líneas de producto extendidas en dos dedos. Repártelo homogéneamente por todo el rostro, cuello, nuca y orejas. Si la exposición solar es superior a 2 horas, recomendamos reaplicar el producto. Al reducir la cantidad de producto aplicada se reduce el factor de protección.",ISDIN,Protección Solar,Facial,"['https://aruma.vtexassets.com/arquivos/ids/200779-800-auto?v=638645269520970000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/200780-800-auto?v=638645269610930000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/200781-800-auto?v=638645269742000000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/200782-800-auto?v=638645269943970000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/200783-800-auto?v=638645270049270000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/200784-800-auto?v=638645270208570000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/200785-800-auto?v=638645270337000000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/200786-800-auto?v=638645270508400000&width=800&height=auto&aspect=true']","Saca tu mejor versión con el fotoprotector facial ultraligero de uso diario Fusion Water MAGIC by Alcaraz SPF 50. Aporta efecto refrescante y, gracias al Heat Stress Protect, protege la piel frente a los radicales libres generados por el calor derivado de la práctica deportiva.",https://www.aruma.pe/fotoprotector-isdin-fusion-water-magic-alcaraz-50-ml/p
Serum Martiderm Vitamina C Antiox 20 Ml,142.00,"Ilumina, unifica el tono y mejora la firmeza, dejando la piel radiante y rejuvenecida.",,MARTIDERM,Tratamiento,Serums y ampollas,"['https://aruma.vtexassets.com/arquivos/ids/204366-800-auto?v=638784213272000000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/204371-800-auto?v=638784214870170000&width=800&height=auto&aspect=true']","Innovadora fórmula anhidra enriquecida con un 15% de vitamina C pura y jengibre que aporta un efecto sinérgico garantizando así la máxima eficacia antioxidante. Este bálsamo fundente, no graso y de fácil absorción proporciona una piel más revitalizada, uniforme y luminosa",https://www.aruma.pe/serum-martiderm-vitamina-c-antiox-20-ml/p
Hidratante Moisturizing 24H Cream 50 ml Frezyderm,149.00,,,FREZYDERM,Hidratación,Dermocosmética,"['https://aruma.vtexassets.com/arquivos/ids/167565-800-auto?v=637460887554470000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/167423-800-auto?v=637449718354270000&width=800&height=auto&aspect=true']",Hidratante Para Pieles Jóvenes 24+ Moisturizing 24H,https://www.aruma.pe/hidratante-moisturizing-24h-cream-50-ml-frezyderm/p
Loción Clarificante 3 Piel Mixta Grasa 400 ml Clinique,185.00,Loción exfoliante líquida desarrollada por dermatólogos despeja el camino para una piel más uniforme y saludable.,"Usa dos veces al día, mañana y noche.
Aplica con una bola de algodón, pasando suavemente sobre el rostro y cuello.
Sólo para uso externo. Evita el área de ojos y labios
Sigue con el Paso 3: Dramatically Different Moisturizing Lotion + o Gel.",CLINIQUE,Limpieza,Dermocosmética,"['https://aruma.vtexassets.com/arquivos/ids/178873-800-auto?v=637955670456030000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/178874-800-auto?v=637955670566530000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/178875-800-auto?v=637955670676830000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/178876-800-auto?v=637955670804830000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/178877-800-auto?v=637955671003970000&width=800&height=auto&aspect=true']","¿Qué es? 
Es el Paso 2 en nuestro Sistema de 3 Pasos personalizado para el cuidado de la piel. Loción exfoliante líquida desarrollada por dermatólogos despeja el camino para una piel más uniforme y saludable. 

¿Qué hace? 
La fórmula suave y refrescante marca la diferencia para una piel sana. Elimina la contaminación, suciedad, piel muerta dejando una piel más lisa y clara.Deja fresca tu piel gracias a la fórmula que incluye Hamamelis, un purificante que deja la piel limpia y refrescada.Prepara la piel para el hidratante - exfoliar la piel hace que la piel sea más receptiva a los hidratantes y tratamientos.Para pieles más grasas, la exfoliación dos veces al día ayuda a minimizar el exceso de grasa en la piel y deja los poros limpios.Para pieles más secas, la exfoliación dos veces al día ayuda a remover la piel muerta que pueden obstruir la absorción de la humedad. Incluso, ayuda a disminuir las finas líneas. 

Disponible para 5 tipos de pieles:
Clarifying Lotion 1.0 - Piel sensible.
Clarifying Lotion 1 - Piel seca.
Clarifying Lotion 2 - Piel mixta seca.
Clarifying Lotion 3 - Piel mixta grasa.
Clarifying Lotion 4 - Piel grasa.

El secreto del sistema.
Nuestro revolucionario Sistema de 3 Pasos fue creado por un reconocido dermatólogo. Es simple, personalizado y toma tres minutos, dos veces al día: limpia con Facial Soap, exfolia con Clarifying Lotion, humecta con Dramatically Different Moisturizing Lotion+, Gel libre de aceite o Jelly ligero.Hay una rutina del cuidado de la piel Clinique perfecta para ti.
Encuéntrala ahora. 

Nuestra filosofía de pureza 
Sin parabenos. Sin ftalatos. Sin fragancia. Piel simplemente feliz.",https://www.aruma.pe/locion-clarificante-3-piel-mixta-grasa-400-ml-clinique/p
"Bruma Facial Mario Badescu Aloe, Manzanilla Y Lavanda 118 ml",39.90,"EL SPRAY FAVORITO: Bruma facial rejuvenecedora para rostro, cuello o cabello. Lavanda, manzanilla y aloe para una piel luminosa y equilibrada.","Rocíe sobre la cara, el cuello o el cabello según sea necesario.
Úselo para infundir más hidratación antes o después de aplicar la crema hidratante, como estimulante sobre la marcha o después del maquillaje para darle a la piel un acabado húmedo.

* Si el producto entra en contacto con los ojos, enjuáguelos bien con agua.",MARIO BADESCU,Hidratación,Aguas Termales y Brumas,"['https://aruma.vtexassets.com/arquivos/ids/193209-800-auto?v=638446679233200000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/192543-800-auto?v=638433727086600000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/192544-800-auto?v=638433727242070000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/192919-800-auto?v=638442958192500000&width=800&height=auto&aspect=true']","Bruma multiusos con vitamina C, con aloe vera hidratante, manzanilla calmante y lavanda, ayuda a iluminar, hidratar, reponer y equilibrar visiblemente el aspecto de la piel. Se puede utilizar en la cara, el cuello o el cabello para obtener un beneficio calmante para la piel y los sentidos.",https://www.aruma.pe/bruma-facial-mario-badescu-aloe-manzanilla-y-lavanda-118-ml/p
Bloqueador Solar Bioderma Photoderm Nude Touch 50+ Doree 40ml,122.00,Protector solar 100% mineral para pieles mixtas y grasas.,Aplica generosamente antes de la exposición al sol. Reaplicar cada 3 horas.,BIODERMA,Protección Solar,Facial,"['https://aruma.vtexassets.com/arquivos/ids/201357-800-auto?v=638648862420530000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/201358-800-auto?v=638648862422770000&width=800&height=auto&aspect=true']","Protección mineral diaria muy alta - Cobertura ligera
para pieles mixtas a grasa
No comedogénico
Muy buena tolerancia en la piel y los ojos",https://www.aruma.pe/bloqueador-solar-bioderma-photoderm-nude-touch-50-doree-40ml/p
Serum Revox Retinol Unifying Regenerator 30ml Revox,29.90,REVOX B77 RETINOL SERUM REGENERADOR UNIFICADOR,"Aplicar generosamente por la noche sobre la piel limpia y completamente seca de la cara y el cuello, evitando el área de los ojos. Dar suaves golpecitos hasta que se absorba por completo. Utilizar siempre protección solar por la mañana. Para obtener los mejores resultados, combinar con la CREMA RETINOL REVOX B77.",REVOX,Tratamiento,Serums y ampollas,"['https://aruma.vtexassets.com/arquivos/ids/172649-800-auto?v=637738203841130000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/172650-800-auto?v=637738203950800000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/172651-800-auto?v=637738204064700000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/172652-800-auto?v=637738204155070000&width=800&height=auto&aspect=true']","Contiene vitamina A (retinol), mezcla de aceites y vitamina E que iluminan y apoyan la piel para lograr un brillo, elasticidad y suavidad duraderos. La fórmula ultraligera se absorbe rápidamente en la piel. El retinol ayuda a reducir la apariencia de líneas finas, imperfecciones causadas por la exposición al sol y signos de envejecimiento de la piel.",https://www.aruma.pe/serum-revox-retinol-unifying-regenerator-30ml-revox/p
Agua Micelar Bifásica NIVEA Rose Care - Frasco 400ml,47.90,"Agua micelar bifásica que limpia y unifica el tono natural de tu piel, reduciendo las manchas.",Agitar bien antes de usar. Mantener un algodón con producto sobre los ojos cerrados durante unos segundos y retirar. Repetir sobre el resto de la cara. Utiliza en la mañana y en la noche.,NIVEA,Limpieza,Aguas Micelares y Tónicos,['https://aruma.vtexassets.com/arquivos/ids/186700-800-auto?v=638289233725130000&width=800&height=auto&aspect=true'],"La NUEVA MicellAIR Agua de Rosas es el complemento perfecto para tu rutina de aclarado natural: limpia y unifica el tono natural de tu piel, reduciendo las manchas.",https://www.aruma.pe/agua-micelar-con-agua-de-rosas-organica-400ml-nivea/p
